claim_id,worker_id,event_id,worker_age,worker_zone,platform,vehicle_type,months_active,avg_weekly_earnings_inr,work_hours_daily,multiplatform,season,trigger_type,geo_risk,temporal_risk,combined_risk,gps_zone_match,gps_network_delta_m,accel_variance,mock_location_flag,speed_anomaly,gps_trust_score,claim_latitude,claim_longitude,weather_api_match,rainfall_mm_hr,heat_index_celsius,aqi,claims_this_month,earnings_deviation,peer_claim_ratio,platform_login_active,order_availability,duplicate_upi_event,loyalty_score,loyalty_discount,weekly_premium_inr,hours_disrupted,payout_amount_inr,risk_score,decision,is_fraud
C000000,W00700,EVT0482,22,Gurgaon,Zepto,Bike,43,4115.57,9.7,0,Post-Monsoon,Extreme Heat,0.3,0.1,0.4,0.439,1068.7,0.056,0,1,0.4209,28.210462,76.966013,0.511,0.7,29.8,108,0,0.691,0.287,0,0,0,0.8958,0.1792,55.24,1,150,39,MANUAL_REVIEW,1
C000001,W00163,EVT0203,42,Lajpat Nagar,Instamart,Bicycle,8,3725.69,8.3,0,Monsoon,Heavy Rainfall,0.12,0.3,0.42,0.92,54.8,0.453,0,0,0.8051,28.556059,77.235258,0.787,67.2,36.4,87,0,0.214,0.611,1,1,0,0.1667,0.0333,67.51,4,600,15,AUTO_APPROVE,0
C000002,W00316,EVT0081,34,East Delhi,Zepto,Bicycle,18,4660.99,7.0,0,Post-Monsoon,Severe Pollution,0.35,0.1,0.45,0.901,77.3,0.854,0,0,0.8342,28.665425,77.322588,0.955,7.6,29.0,577,0,0.119,0.929,1,1,0,0.375,0.075,62.47,3,450,9,AUTO_APPROVE,0
C000003,W00806,EVT0222,41,Gurgaon,Instamart,Bike,6,2930.16,10.0,1,Winter,Flooding,0.3,0.05,0.35,0.126,527.1,0.256,1,1,0.2969,28.57326,77.345614,0.448,27.6,32.3,86,0,0.742,0.2,0,0,0,0.125,0.025,64.12,5,750,59,MANUAL_REVIEW,1
C000004,W00807,EVT0298,27,Rohini,Zepto,Bike,45,3333.6,8.5,0,Winter,Social Disruption,0.18,0.05,0.23,0.919,79.3,1.61,0,1,0.9167,28.720594,77.124813,0.995,71.7,28.7,187,0,0.06,0.752,1,1,0,0.9375,0.1875,49.46,2,300,2,AUTO_APPROVE,0
C000005,W01145,EVT0395,25,Connaught Place,Swiggy,EV Scooter,34,4386.68,8.1,0,Monsoon,Heavy Rainfall,0.15,0.3,0.45,0.855,175.6,1.342,0,0,0.8499,28.652181,77.207124,0.909,106.3,35.3,140,0,0.076,0.555,1,1,0,0.7083,0.1417,66.0,3,450,7,AUTO_APPROVE,0
C000006,W00705,EVT0021,34,Noida,Zomato,Bike,33,3716.71,9.8,0,Monsoon,Heavy Rainfall,0.28,0.3,0.58,0.981,133.0,1.699,0,0,0.9424,28.533451,77.391122,0.972,63.6,32.5,121,0,0.091,0.7,1,1,0,0.6875,0.1375,64.82,4,600,0,AUTO_APPROVE,0
C000007,W00142,EVT0396,37,South Delhi,BigBasket,Bike,5,3190.55,11.4,0,Monsoon,Extreme Heat,0.1,0.3,0.4,0.735,109.5,1.174,0,0,0.795,28.563689,77.256353,0.948,1.2,46.7,242,0,0.092,0.996,1,1,0,0.1042,0.0208,70.6,2,300,11,AUTO_APPROVE,0
C000008,W00259,EVT0403,33,Lajpat Nagar,Instamart,Bike,17,3756.62,8.0,0,Post-Monsoon,Heavy Rainfall,0.12,0.1,0.22,0.798,126.0,0.92,0,0,0.7923,28.581943,77.243235,0.877,114.7,32.4,108,0,0.183,0.674,1,1,0,0.3542,0.0708,53.6,4,600,13,AUTO_APPROVE,0
C000009,W01273,EVT0125,39,South Delhi,Zomato,EV Scooter,40,3243.2,8.3,0,Winter,Social Disruption,0.1,0.05,0.15,0.887,140.0,0.559,0,0,0.7897,28.544315,77.249063,0.935,44.6,30.9,236,0,0.176,0.74,1,1,0,0.8333,0.1667,49.3,4,600,1,AUTO_APPROVE,0
C000010,W01674,EVT0484,26,Lajpat Nagar,Swiggy,Bike,17,3549.99,9.6,0,Monsoon,Severe Pollution,0.12,0.3,0.42,0.827,170.2,1.258,0,0,0.8311,28.558182,77.242076,0.787,6.6,20.2,516,0,0.202,0.747,1,1,0,0.3542,0.0708,65.71,6,900,14,AUTO_APPROVE,0
C000011,W01586,EVT0180,32,North Delhi,Instamart,Bicycle,31,2316.62,9.1,0,Post-Monsoon,Flooding,0.2,0.1,0.3,0.727,96.8,0.694,0,0,0.7457,28.708798,77.205102,0.885,27.0,39.9,324,0,0.193,0.743,1,1,0,0.6458,0.1292,55.45,5,750,13,AUTO_APPROVE,0
C000012,W01761,EVT0403,20,Gurgaon,Zomato,Bicycle,32,6025.16,7.4,1,Winter,Severe Pollution,0.3,0.05,0.35,0.818,94.6,1.374,0,0,0.8504,28.455598,77.021161,0.91,5.8,31.4,426,0,0.22,0.673,1,1,0,0.6667,0.1333,56.55,4,600,9,AUTO_APPROVE,0
C000013,W01039,EVT0163,28,West Delhi,Swiggy,Bicycle,30,2675.26,8.9,0,Winter,Social Disruption,0.25,0.05,0.3,0.776,113.5,0.794,0,0,0.7728,28.656115,77.099719,0.949,22.0,39.7,348,0,0.203,0.943,1,1,0,0.625,0.125,53.83,4,600,12,AUTO_APPROVE,0
C000014,W01561,EVT0033,40,East Delhi,Zepto,Bike,34,4610.14,9.9,0,Monsoon,Social Disruption,0.35,0.3,0.65,0.777,72.2,1.852,1,0,0.7852,28.663817,77.309444,0.834,41.0,29.8,294,0,0.065,0.77,1,1,0,0.7083,0.1417,67.04,3,450,19,AUTO_APPROVE,0
C000015,W00984,EVT0224,37,West Delhi,Blinkit,Bike,37,3801.7,9.3,1,Monsoon,Flooding,0.25,0.3,0.55,0.906,99.1,1.809,0,0,0.9284,28.66266,77.131004,0.865,67.8,37.4,304,0,0.125,0.782,1,1,0,0.7708,0.1542,64.52,3,450,10,AUTO_APPROVE,0
C000016,W01911,EVT0193,38,Noida,Swiggy,Bicycle,43,3686.17,8.5,0,Monsoon,Social Disruption,0.28,0.3,0.58,0.803,202.0,1.265,0,0,0.8174,28.527133,77.407013,0.801,46.8,29.2,295,0,0.181,0.803,1,1,0,0.8958,0.1792,61.87,3,450,20,AUTO_APPROVE,0
C000017,W00049,EVT0150,36,Connaught Place,BigBasket,Bike,21,4635.31,9.4,0,Monsoon,Social Disruption,0.15,0.3,0.45,0.881,89.4,0.696,0,0,0.8086,28.624863,77.196476,0.89,74.8,32.0,134,0,0.086,0.939,1,1,0,0.4375,0.0875,65.32,5,750,10,AUTO_APPROVE,0
C000018,W00480,EVT0298,42,North Delhi,Instamart,Bike,26,4001.23,8.7,0,Summer,Severe Pollution,0.2,0.2,0.4,0.876,195.0,1.636,0,1,0.8848,28.707503,77.216566,0.781,4.5,34.9,543,0,0.038,0.903,1,1,0,0.5417,0.1083,61.29,3,450,7,AUTO_APPROVE,0
C000019,W00665,EVT0016,37,South Delhi,BigBasket,Bike,32,4604.82,9.8,0,Summer,Social Disruption,0.1,0.2,0.3,0.724,62.5,1.817,0,0,0.8619,28.555137,77.253678,0.786,79.8,32.1,302,0,0.01,0.873,1,1,0,0.6667,0.1333,51.96,2,300,14,AUTO_APPROVE,0
C000020,W00855,EVT0072,35,Dwarka,Instamart,EV Scooter,42,2533.86,9.0,0,Monsoon,Social Disruption,0.22,0.3,0.52,0.961,143.6,0.661,0,0,0.829,28.568799,77.054307,0.853,55.2,39.7,141,0,0.01,0.806,1,1,0,0.875,0.175,62.78,4,600,3,AUTO_APPROVE,0
C000021,W01133,EVT0345,27,Faridabad,BigBasket,EV Scooter,19,3389.4,7.2,0,Summer,Social Disruption,0.32,0.2,0.52,0.754,45.9,0.833,0,0,0.778,28.395541,77.309632,0.94,62.0,34.9,165,0,0.114,0.569,1,1,0,0.3958,0.0792,66.8,3,450,11,AUTO_APPROVE,0
C000022,W00196,EVT0037,22,Gurgaon,Blinkit,Bike,18,2156.94,7.1,0,Monsoon,Severe Pollution,0.3,0.3,0.6,0.697,203.8,1.094,0,0,0.7576,28.444888,77.024682,0.877,9.5,22.8,420,0,0.162,0.657,1,1,0,0.375,0.075,74.43,3,450,13,AUTO_APPROVE,0
C000023,W00078,EVT0126,23,North Delhi,Instamart,Bike,25,3911.83,10.6,1,Post-Monsoon,Extreme Heat,0.2,0.1,0.3,0.812,41.8,1.352,0,0,0.8537,28.713712,77.204643,0.836,1.5,57.7,351,0,0.009,0.583,1,1,0,0.5208,0.1042,51.86,4,600,16,AUTO_APPROVE,0
C000024,W01721,EVT0228,20,Gurgaon,BigBasket,Bike,7,4225.6,10.5,0,Winter,Flooding,0.3,0.05,0.35,0.825,159.2,0.718,0,0,0.7779,28.464945,77.024296,0.781,68.8,28.0,267,0,0.01,0.685,1,1,0,0.1458,0.0292,63.26,1,150,13,AUTO_APPROVE,0
C000025,W00162,EVT0465,40,Connaught Place,Zepto,Bike,13,3996.47,11.0,0,Winter,Severe Pollution,0.15,0.05,0.2,0.82,61.1,0.838,0,0,0.8026,28.632239,77.222329,0.742,7.5,33.2,453,0,0.079,0.714,1,1,0,0.2708,0.0542,56.93,5,750,12,AUTO_APPROVE,0
C000026,W00281,EVT0420,28,Faridabad,Zepto,Bike,27,3415.22,10.7,0,Winter,Social Disruption,0.32,0.05,0.37,0.789,71.8,1.781,0,0,0.8829,28.424043,77.2988,0.941,63.7,40.0,250,0,0.049,0.737,1,1,0,0.5625,0.1125,60.15,5,750,11,AUTO_APPROVE,0
C000027,W00507,EVT0063,36,West Delhi,Zepto,Bicycle,6,3053.69,8.5,0,Summer,Flooding,0.25,0.2,0.45,0.835,33.8,1.517,0,0,0.8806,28.661457,77.096953,0.789,39.3,28.4,298,0,0.018,0.678,1,1,0,0.125,0.025,69.98,1,150,8,AUTO_APPROVE,0
C000028,W00609,EVT0463,21,Rohini,Blinkit,EV Scooter,20,5256.47,8.2,0,Post-Monsoon,Flooding,0.18,0.1,0.28,0.816,15.7,1.481,0,0,0.8721,28.732363,77.140949,0.864,67.7,41.6,168,0,0.149,0.815,1,1,0,0.4167,0.0833,56.13,4,600,12,AUTO_APPROVE,0
C000029,W01033,EVT0163,43,Faridabad,Zepto,Bike,47,4223.68,8.0,0,Winter,Severe Pollution,0.32,0.05,0.37,0.825,150.8,1.199,0,0,0.8273,28.413382,77.327087,0.916,4.2,25.6,517,0,0.203,0.859,1,1,0,0.9792,0.1958,54.44,5,750,13,AUTO_APPROVE,0
C000030,W00126,EVT0415,28,North Delhi,BigBasket,Bicycle,3,4487.13,7.3,0,Monsoon,Heavy Rainfall,0.2,0.3,0.5,0.772,65.8,1.232,0,0,0.8221,28.714183,77.213761,0.87,115.2,30.8,189,0,0.197,0.849,1,1,0,0.0625,0.0125,72.86,3,450,13,AUTO_APPROVE,0
C000031,W00058,EVT0445,41,Gurgaon,Zepto,Bicycle,13,3704.33,6.8,0,Monsoon,Heavy Rainfall,0.3,0.3,0.6,0.964,212.3,1.21,0,0,0.8748,28.453624,77.031446,0.894,96.2,30.5,133,0,0.167,0.965,1,1,0,0.2708,0.0542,74.24,5,750,7,AUTO_APPROVE,0
C000032,W01579,EVT0344,29,Saket,Swiggy,Bicycle,12,4286.28,7.5,1,Post-Monsoon,Severe Pollution,0.14,0.1,0.24,0.764,77.3,1.388,0,0,0.8328,28.517769,77.204158,0.938,9.1,20.2,438,0,0.215,0.785,1,1,0,0.25,0.05,57.93,4,600,15,AUTO_APPROVE,0
C000033,W01169,EVT0457,31,West Delhi,Swiggy,EV Scooter,41,4606.87,8.8,0,Summer,Extreme Heat,0.25,0.2,0.45,0.49,902.5,0.242,0,1,0.4848,28.875962,77.033245,0.471,0.6,30.6,194,0,0.702,0.031,0,0,0,0.8542,0.1708,57.12,2,300,43,MANUAL_REVIEW,1
C000034,W00033,EVT0443,41,Lajpat Nagar,Blinkit,Bike,9,4074.03,10.1,0,Monsoon,Heavy Rainfall,0.12,0.3,0.42,0.817,125.7,1.089,0,0,0.8168,28.561009,77.246649,0.794,128.5,37.5,181,0,0.072,0.925,1,1,0,0.1875,0.0375,68.83,4,600,16,AUTO_APPROVE,0
C000035,W00059,EVT0314,26,North Delhi,Instamart,EV Scooter,37,3591.83,6.1,0,Post-Monsoon,Heavy Rainfall,0.2,0.1,0.3,0.915,109.7,1.718,0,0,0.9213,28.712221,77.221157,0.991,116.0,31.8,162,0,0.034,0.61,1,1,0,0.7708,0.1542,55.36,4,600,6,AUTO_APPROVE,0
C000036,W00496,EVT0062,21,Rohini,BigBasket,Bike,24,3341.35,8.9,0,Summer,Severe Pollution,0.18,0.2,0.38,0.882,157.8,1.994,0,0,0.9285,28.721071,77.139464,0.74,9.6,34.3,531,0,0.18,0.647,1,1,0,0.5,0.1,57.15,3,450,14,AUTO_APPROVE,0
C000037,W00621,EVT0380,36,Saket,Zepto,Bicycle,22,4183.84,7.7,0,Monsoon,Severe Pollution,0.14,0.3,0.44,0.031,1005.9,0.225,1,0,0.184,28.114708,76.823073,0.398,24.9,36.0,122,0,0.878,0.067,0,0,0,0.4583,0.0917,61.17,4,600,68,MANUAL_REVIEW,1
C000038,W01524,EVT0346,23,East Delhi,Zomato,Bike,22,3981.62,8.7,0,Monsoon,Heavy Rainfall,0.35,0.3,0.65,0.813,123.4,0.565,0,0,0.7632,28.663085,77.310595,0.875,54.1,32.6,135,0,0.109,0.818,1,1,0,0.4583,0.0917,76.03,6,900,14,AUTO_APPROVE,0
C000039,W00180,EVT0445,38,Saket,Swiggy,Bike,5,3836.82,10.6,1,Summer,Heavy Rainfall,0.14,0.2,0.34,0.964,167.8,1.246,0,0,0.885,28.524268,77.234883,0.827,79.1,32.6,166,0,0.129,0.781,1,1,0,0.1042,0.0208,64.64,4,600,7,AUTO_APPROVE,0
C000040,W00420,EVT0134,23,Saket,Zepto,Bike,47,3232.44,8.9,1,Summer,Heavy Rainfall,0.14,0.2,0.34,0.782,167.1,1.311,0,0,0.8188,28.50368,77.218914,0.831,121.2,33.8,147,0,0.1,0.574,1,1,0,0.9792,0.1958,54.05,2,300,9,AUTO_APPROVE,0
C000041,W01768,EVT0322,26,North Delhi,Blinkit,Bike,15,2880.29,7.1,1,Summer,Extreme Heat,0.2,0.2,0.4,0.978,39.4,0.852,0,0,0.8705,28.721128,77.219286,0.91,2.2,51.7,188,0,0.145,0.671,1,1,0,0.3125,0.0625,63.67,4,600,4,AUTO_APPROVE,0
C000042,W00582,EVT0177,29,East Delhi,Instamart,Bike,41,3114.85,7.6,0,Monsoon,Extreme Heat,0.35,0.3,0.65,0.682,105.1,0.484,0,0,0.7054,28.65864,77.322547,0.807,0.1,55.7,255,0,0.118,0.556,1,1,0,0.8542,0.1708,66.91,3,450,20,AUTO_APPROVE,0
C000043,W00675,EVT0158,42,Connaught Place,Blinkit,Bike,28,4235.81,10.6,0,Winter,Extreme Heat,0.15,0.05,0.2,0.982,151.5,1.188,0,0,0.8889,28.634932,77.205945,0.865,0.0,56.4,326,0,0.109,0.738,1,1,0,0.5833,0.1167,48.57,3,450,7,AUTO_APPROVE,0
