claim_id,worker_id,event_id,worker_age,worker_zone,platform,vehicle_type,months_active,avg_weekly_earnings_inr,work_hours_daily,multiplatform,season,trigger_type,geo_risk,temporal_risk,combined_risk,gps_zone_match,gps_network_delta_m,accel_variance,mock_location_flag,speed_anomaly,gps_trust_score,claim_latitude,claim_longitude,weather_api_match,rainfall_mm_hr,heat_index_celsius,aqi,claims_this_month,earnings_deviation,peer_claim_ratio,platform_login_active,order_availability,duplicate_upi_event,loyalty_score,loyalty_discount,weekly_premium_inr,hours_disrupted,payout_amount_inr,risk_score,decision,is_fraud
C000000,W00700,EVT0482,22,Gurgaon,Zepto,Bike,43,4115.57,9.7,0,Post-Monsoon,Extreme Heat,0.3,0.1,0.4,0.439,1068.7,0.056,0,1,0.4209,28.210462,76.966013,0.511,0.7,29.8,108,0,0.691,0.287,0,0,0,0.8958,0.1792,55.24,1,150,39,MANUAL_REVIEW,1
C000003,W00806,EVT0222,41,Gurgaon,Instamart,Bike,6,2930.16,10.0,1,Winter,Flooding,0.3,0.05,0.35,0.126,527.1,0.256,1,1,0.2969,28.57326,77.345614,0.448,27.6,32.3,86,0,0.742,0.2,0,0,0,0.125,0.025,64.12,5,750,59,MANUAL_REVIEW,1
C000033,W01169,EVT0457,31,West Delhi,Swiggy,EV Scooter,41,4606.87,8.8,0,Summer,Extreme Heat,0.25,0.2,0.45,0.49,902.5,0.242,0,1,0.4848,28.875962,77.033245,0.471,0.6,30.6,194,0,0.702,0.031,0,0,0,0.8542,0.1708,57.12,2,300,43,MANUAL_REVIEW,1
C000037,W00621,EVT0380,36,Saket,Zepto,Bicycle,22,4183.84,7.7,0,Monsoon,Severe Pollution,0.14,0.3,0.44,0.031,1005.9,0.225,1,0,0.184,28.114708,76.823073,0.398,24.9,36.0,122,0,0.878,0.067,0,0,0,0.4583,0.0917,61.17,4,600,68,MANUAL_REVIEW,1
C000056,W00229,EVT0230,31,South Delhi,Zomato,Bike,25,2362.06,8.0,0,Post-Monsoon,Extreme Heat,0.1,0.1,0.2,0.511,537.4,0.013,1,0,0.4251,28.475276,76.878265,0.371,3.2,30.2,137,0,0.566,0.235,0,0,0,0.5208,0.1042,48.61,1,150,48,MANUAL_REVIEW,1
C000076,W01369,EVT0442,44,Connaught Place,Instamart,Bicycle,31,3853.75,11.7,0,Winter,Heavy Rainfall,0.15,0.05,0.2,0.494,832.7,0.238,1,0,0.3965,28.516487,77.152447,0.011,31.5,28.2,163,0,0.616,0.224,1,0,0,0.6458,0.1292,50.82,3,450,54,MANUAL_REVIEW,1
C000081,W01001,EVT0008,35,Lajpat Nagar,Swiggy,Bike,36,3441.69,10.9,0,Winter,Social Disruption,0.12,0.05,0.17,0.36,1317.0,0.252,1,0,0.2717,28.498821,77.198639,0.15,26.3,29.7,178,0,0.8,0.117,0,0,0,0.75,0.15,49.0,4,600,59,MANUAL_REVIEW,1
C000083,W00182,EVT0422,42,Connaught Place,Swiggy,Bike,41,2956.67,8.0,0,Monsoon,Severe Pollution,0.15,0.3,0.45,0.182,556.9,0.275,0,0,0.4168,28.432006,77.216216,0.154,1.2,31.6,209,0,0.666,0.33,1,0,0,0.8542,0.1708,57.73,5,750,60,MANUAL_REVIEW,1
C000092,W00075,EVT0491,32,Faridabad,Zomato,Bike,24,3693.13,9.5,1,Monsoon,Flooding,0.32,0.3,0.62,0.195,974.3,0.198,0,1,0.3517,28.249703,77.135434,0.227,24.2,36.2,266,0,0.875,0.024,1,0,0,0.5,0.1,69.74,3,450,56,MANUAL_REVIEW,1
C000100,W01171,EVT0271,20,Faridabad,Zepto,Bicycle,41,4197.12,8.2,0,Monsoon,Extreme Heat,0.32,0.3,0.62,0.198,1289.2,0.212,1,0,0.207,28.355944,76.665698,0.225,0.7,29.5,196,0,0.897,0.265,1,0,0,0.8542,0.1708,68.53,1,150,65,MANUAL_REVIEW,1
C000108,W00711,EVT0185,38,East Delhi,Zepto,Bike,18,5631.28,7.4,0,Monsoon,Flooding,0.35,0.3,0.65,0.316,1270.6,0.177,1,1,0.2535,28.134023,77.461867,0.159,11.4,33.0,272,0,0.757,0.096,0,0,0,0.375,0.075,77.55,6,900,63,MANUAL_REVIEW,1
C000121,W01201,EVT0370,36,Dwarka,BigBasket,Bike,30,3945.18,8.3,1,Monsoon,Severe Pollution,0.22,0.3,0.52,0.53,1823.1,0.051,1,1,0.2436,28.209188,76.787236,0.294,9.4,29.7,149,0,0.738,0.042,0,0,0,0.625,0.125,64.52,1,150,52,MANUAL_REVIEW,1
C000142,W00544,EVT0208,25,East Delhi,Swiggy,Bike,28,4445.95,9.1,1,Monsoon,Severe Pollution,0.35,0.3,0.65,0.189,458.8,0.007,1,0,0.3075,28.14714,77.548978,0.415,11.7,37.5,221,0,0.565,0.343,1,0,0,0.5833,0.1167,70.19,3,450,60,MANUAL_REVIEW,1
C000167,W00608,EVT0493,21,Saket,Instamart,Bike,38,3776.98,7.9,0,Post-Monsoon,Social Disruption,0.14,0.1,0.24,0.153,584.4,0.042,0,0,0.3777,28.523285,76.677525,0.119,22.7,34.4,343,0,0.505,0.236,1,0,0,0.7917,0.1583,49.69,3,450,64,MANUAL_REVIEW,1
C000184,W01441,EVT0362,22,South Delhi,Instamart,EV Scooter,39,4761.01,10.3,0,Summer,Extreme Heat,0.1,0.2,0.3,0.444,370.7,0.221,1,1,0.4441,28.350964,77.583801,0.063,3.4,35.1,238,0,0.39,0.286,0,0,0,0.8125,0.1625,57.23,3,450,56,MANUAL_REVIEW,1
C000202,W01082,EVT0091,39,North Delhi,Zomato,EV Scooter,40,3483.88,10.2,0,Summer,Flooding,0.2,0.2,0.4,0.237,804.2,0.262,0,0,0.4004,28.965454,76.922515,0.499,1.1,30.0,320,0,0.778,0.087,1,0,0,0.8333,0.1667,56.76,2,300,48,MANUAL_REVIEW,1
C000203,W00197,EVT0035,25,South Delhi,Instamart,Bike,14,3958.41,6.6,1,Post-Monsoon,Extreme Heat,0.1,0.1,0.2,0.548,866.7,0.243,1,1,0.4135,28.625186,77.444108,0.253,1.4,39.8,91,0,0.515,0.138,1,1,0,0.2917,0.0583,52.1,4,600,46,MANUAL_REVIEW,1
C000220,W01454,EVT0287,41,East Delhi,Swiggy,Bike,40,3491.19,6.7,1,Post-Monsoon,Flooding,0.35,0.1,0.45,0.301,1257.2,0.152,1,1,0.247,28.079234,76.857595,0.409,28.6,38.3,310,0,0.377,0.002,0,0,1,0.8333,0.1667,59.63,5,750,48,MANUAL_REVIEW,1
C000229,W01522,EVT0491,29,Saket,Instamart,Bike,37,4129.71,10.3,0,Summer,Heavy Rainfall,0.14,0.2,0.34,0.193,486.0,0.237,1,0,0.328,28.102703,77.188762,0.561,9.6,31.9,91,0,0.708,0.209,1,0,0,0.7708,0.1542,53.75,4,600,50,MANUAL_REVIEW,1
C000238,W00800,EVT0201,44,Gurgaon,BigBasket,Bike,42,4429.7,9.4,0,Post-Monsoon,Flooding,0.3,0.1,0.4,0.459,1983.2,0.018,1,0,0.1879,28.096875,77.123488,0.543,20.9,26.4,325,0,0.408,0.157,1,0,0,0.875,0.175,54.52,3,450,34,MANUAL_REVIEW,1
C000242,W01059,EVT0309,33,North Delhi,Swiggy,Bike,20,3487.51,5.1,0,Winter,Extreme Heat,0.2,0.05,0.25,0.366,1864.0,0.181,0,1,0.2849,28.814004,76.762009,0.348,2.8,41.2,162,0,0.526,0.089,1,0,0,0.4167,0.0833,57.42,2,300,45,MANUAL_REVIEW,1
C000258,W01852,EVT0006,25,South Delhi,Instamart,Bike,30,4309.28,11.0,1,Summer,Social Disruption,0.1,0.2,0.3,0.049,894.7,0.068,1,0,0.1922,28.404965,76.728326,0.156,17.9,26.1,140,0,0.853,0.086,0,0,1,0.625,0.125,58.88,4,600,74,AUTO_REJECT,1
C000263,W00866,EVT0033,21,Faridabad,Swiggy,Bicycle,43,4369.3,9.6,0,Post-Monsoon,Flooding,0.32,0.1,0.42,0.189,1766.7,0.173,1,1,0.1279,28.947239,76.749749,0.015,19.5,36.3,211,0,0.704,0.043,0,0,0,0.8958,0.1792,55.88,2,300,69,MANUAL_REVIEW,1
C000264,W01650,EVT0183,32,Noida,Blinkit,Bicycle,13,3784.06,9.9,1,Winter,Flooding,0.28,0.05,0.33,0.091,1502.4,0.187,1,1,0.1297,28.62701,76.643169,0.204,7.2,32.2,257,0,0.726,0.179,0,0,0,0.2708,0.0542,61.02,6,900,68,MANUAL_REVIEW,1
C000271,W01086,EVT0129,39,South Delhi,Swiggy,Bike,2,3144.81,10.3,1,Summer,Extreme Heat,0.1,0.2,0.3,0.451,1317.8,0.023,0,0,0.385,28.700097,77.109212,0.495,0.0,31.8,250,0,0.552,0.135,0,0,0,0.0417,0.0083,60.79,4,600,37,MANUAL_REVIEW,1
C000285,W00326,EVT0488,21,West Delhi,BigBasket,Bicycle,41,4485.76,8.7,0,Post-Monsoon,Social Disruption,0.25,0.1,0.35,0.154,1422.5,0.052,1,0,0.1534,28.900397,77.325692,0.292,25.3,27.9,222,0,0.386,0.152,1,1,0,0.8542,0.1708,52.81,2,300,62,MANUAL_REVIEW,1
