worker_zone,season,trigger_type,avg_premium,avg_geo_risk,avg_temporal_risk,claim_count,fraud_rate
Connaught Place,Monsoon,Extreme Heat,63.668,0.15,0.3,40,0.075
Connaught Place,Monsoon,Flooding,63.385,0.15,0.3,43,0.14
Connaught Place,Monsoon,Heavy Rainfall,63.199,0.15,0.3,40,0.05
Connaught Place,Monsoon,Severe Pollution,63.633,0.15,0.3,35,0.143
Connaught Place,Monsoon,Social Disruption,64.049,0.15,0.3,47,0.213
Connaught Place,Post-Monsoon,Extreme Heat,55.091,0.15,0.1,37,0.216
Connaught Place,Post-Monsoon,Flooding,54.098,0.15,0.1,41,0.073
Connaught Place,Post-Monsoon,Heavy Rainfall,54.254,0.15,0.1,43,0.186
Connaught Place,Post-Monsoon,Severe Pollution,55.321,0.15,0.1,32,0.125
Connaught Place,Post-Monsoon,Social Disruption,55.127,0.15,0.1,38,0.211
Connaught Place,Summer,Extreme Heat,59.371,0.15,0.2,34,0.176
Connaught Place,Summer,Flooding,59.118,0.15,0.2,43,0.116
Connaught Place,Summer,Heavy Rainfall,59.172,0.15,0.2,36,0.111
Connaught Place,Summer,Severe Pollution,59.312,0.15,0.2,44,0.227
Connaught Place,Summer,Social Disruption,58.777,0.15,0.2,37,0.189
Connaught Place,Winter,Extreme Heat,53.326,0.15,0.05,45,0.133
Connaught Place,Winter,Flooding,52.078,0.15,0.05,40,0.2
Connaught Place,Winter,Heavy Rainfall,52.957,0.15,0.05,40,0.2
Connaught Place,Winter,Severe Pollution,52.178,0.15,0.05,48,0.062
Connaught Place,Winter,Social Disruption,52.786,0.15,0.05,39,0.154
Dwarka,Monsoon,Extreme Heat,66.897,0.22,0.3,32,0.219
Dwarka,Monsoon,Flooding,67.373,0.22,0.3,45,0.089
Dwarka,Monsoon,Heavy Rainfall,67.078,0.22,0.3,44,0.205
Dwarka,Monsoon,Severe Pollution,65.692,0.22,0.3,50,0.04
Dwarka,Monsoon,Social Disruption,67.601,0.22,0.3,40,0.2
Dwarka,Post-Monsoon,Extreme Heat,57.399,0.22,0.1,36,0.222
Dwarka,Post-Monsoon,Flooding,58.818,0.22,0.1,29,0.138
Dwarka,Post-Monsoon,Heavy Rainfall,57.987,0.22,0.1,44,0.114
Dwarka,Post-Monsoon,Severe Pollution,58.665,0.22,0.1,59,0.22
Dwarka,Post-Monsoon,Social Disruption,58.261,0.22,0.1,32,0.25
Dwarka,Summer,Extreme Heat,62.386,0.22,0.2,41,0.244
Dwarka,Summer,Flooding,62.448,0.22,0.2,37,0.189
Dwarka,Summer,Heavy Rainfall,61.89,0.22,0.2,41,0.122
Dwarka,Summer,Severe Pollution,61.537,0.22,0.2,36,0.139
Dwarka,Summer,Social Disruption,61.817,0.22,0.2,52,0.192
Dwarka,Winter,Extreme Heat,56.519,0.22,0.05,49,0.184
Dwarka,Winter,Flooding,56.283,0.22,0.05,46,0.152
Dwarka,Winter,Heavy Rainfall,55.913,0.22,0.05,53,0.189
Dwarka,Winter,Severe Pollution,55.766,0.22,0.05,41,0.098
Dwarka,Winter,Social Disruption,55.795,0.22,0.05,37,0.189
East Delhi,Monsoon,Extreme Heat,72.119,0.35,0.3,50,0.22
East Delhi,Monsoon,Flooding,72.058,0.35,0.3,55,0.109
East Delhi,Monsoon,Heavy Rainfall,71.445,0.35,0.3,33,0.212
East Delhi,Monsoon,Severe Pollution,73.392,0.35,0.3,41,0.244
East Delhi,Monsoon,Social Disruption,72.009,0.35,0.3,55,0.2
East Delhi,Post-Monsoon,Extreme Heat,62.905,0.35,0.1,46,0.109
East Delhi,Post-Monsoon,Flooding,64.155,0.35,0.1,51,0.118
East Delhi,Post-Monsoon,Heavy Rainfall,63.723,0.35,0.1,40,0.225
East Delhi,Post-Monsoon,Severe Pollution,63.746,0.35,0.1,50,0.14
East Delhi,Post-Monsoon,Social Disruption,63.195,0.35,0.1,40,0.2
East Delhi,Summer,Extreme Heat,67.79,0.35,0.2,52,0.231
East Delhi,Summer,Flooding,67.263,0.35,0.2,57,0.193
East Delhi,Summer,Heavy Rainfall,68.7,0.35,0.2,36,0.25
East Delhi,Summer,Severe Pollution,66.724,0.35,0.2,45,0.156
East Delhi,Summer,Social Disruption,68.046,0.35,0.2,57,0.14
East Delhi,Winter,Extreme Heat,62.039,0.35,0.05,42,0.238
East Delhi,Winter,Flooding,61.659,0.35,0.05,39,0.128
East Delhi,Winter,Heavy Rainfall,60.584,0.35,0.05,44,0.25
East Delhi,Winter,Severe Pollution,60.891,0.35,0.05,50,0.16
East Delhi,Winter,Social Disruption,61.055,0.35,0.05,55,0.236
Faridabad,Monsoon,Extreme Heat,72.813,0.32,0.3,48,0.104
Faridabad,Monsoon,Flooding,71.624,0.32,0.3,50,0.1
Faridabad,Monsoon,Heavy Rainfall,72.61,0.32,0.3,56,0.196
Faridabad,Monsoon,Severe Pollution,72.681,0.32,0.3,50,0.24
Faridabad,Monsoon,Social Disruption,71.107,0.32,0.3,55,0.218
Faridabad,Post-Monsoon,Extreme Heat,63.806,0.32,0.1,39,0.128
Faridabad,Post-Monsoon,Flooding,62.551,0.32,0.1,49,0.265
Faridabad,Post-Monsoon,Heavy Rainfall,63.436,0.32,0.1,44,0.227
Faridabad,Post-Monsoon,Severe Pollution,64.163,0.32,0.1,37,0.162
Faridabad,Post-Monsoon,Social Disruption,62.825,0.32,0.1,39,0.128
Faridabad,Summer,Extreme Heat,66.862,0.32,0.2,42,0.19
Faridabad,Summer,Flooding,67.449,0.32,0.2,49,0.184
Faridabad,Summer,Heavy Rainfall,67.601,0.32,0.2,32,0.125
Faridabad,Summer,Severe Pollution,67.053,0.32,0.2,39,0.231
Faridabad,Summer,Social Disruption,67.171,0.32,0.2,36,0.278
Faridabad,Winter,Extreme Heat,59.903,0.32,0.05,38,0.184
Faridabad,Winter,Flooding,60.887,0.32,0.05,42,0.167
Faridabad,Winter,Heavy Rainfall,60.65,0.32,0.05,36,0.194
Faridabad,Winter,Severe Pollution,60.112,0.32,0.05,45,0.089
Faridabad,Winter,Social Disruption,60.464,0.32,0.05,45,0.222
Gurgaon,Monsoon,Extreme Heat,69.932,0.3,0.3,35,0.086
Gurgaon,Monsoon,Flooding,70.235,0.3,0.3,44,0.205
Gurgaon,Monsoon,Heavy Rainfall,71.562,0.3,0.3,39,0.179
Gurgaon,Monsoon,Severe Pollution,70.684,0.3,0.3,39,0.179
Gurgaon,Monsoon,Social Disruption,71.047,0.3,0.3,42,0.167
Gurgaon,Post-Monsoon,Extreme Heat,61.478,0.3,0.1,45,0.289
Gurgaon,Post-Monsoon,Flooding,61.116,0.3,0.1,38,0.184
Gurgaon,Post-Monsoon,Heavy Rainfall,62.614,0.3,0.1,46,0.152
Gurgaon,Post-Monsoon,Severe Pollution,60.597,0.3,0.1,49,0.102
Gurgaon,Post-Monsoon,Social Disruption,61.191,0.3,0.1,43,0.279
Gurgaon,Summer,Extreme Heat,66.584,0.3,0.2,45,0.133
Gurgaon,Summer,Flooding,65.805,0.3,0.2,54,0.278
Gurgaon,Summer,Heavy Rainfall,65.174,0.3,0.2,37,0.108
Gurgaon,Summer,Severe Pollution,64.932,0.3,0.2,41,0.195
Gurgaon,Summer,Social Disruption,66.135,0.3,0.2,47,0.234
Gurgaon,Winter,Extreme Heat,60.127,0.3,0.05,43,0.14
Gurgaon,Winter,Flooding,60.429,0.3,0.05,40,0.1
Gurgaon,Winter,Heavy Rainfall,58.345,0.3,0.05,44,0.114
Gurgaon,Winter,Severe Pollution,58.282,0.3,0.05,42,0.19
Gurgaon,Winter,Social Disruption,60.473,0.3,0.05,52,0.308
Lajpat Nagar,Monsoon,Extreme Heat,62.633,0.12,0.3,44,0.25
Lajpat Nagar,Monsoon,Flooding,61.512,0.12,0.3,37,0.189
Lajpat Nagar,Monsoon,Heavy Rainfall,62.29,0.12,0.3,34,0.206
Lajpat Nagar,Monsoon,Severe Pollution,60.809,0.12,0.3,39,0.128
Lajpat Nagar,Monsoon,Social Disruption,63.493,0.12,0.3,40,0.075
