worker_id,age,zone,platform,months_active,avg_weekly_earnings,work_hours_daily,multiplatform,vehicle_type,geo_risk
W00000,29,Connaught Place,Swiggy,37,3379.34,7.5,0,Bike,0.15
W00001,20,West Delhi,Instamart,39,2922.27,10.5,0,Bike,0.25
W00002,23,Lajpat Nagar,Swiggy,28,3784.82,7.9,0,Bike,0.12
W00003,22,Dwarka,Blinkit,41,5036.64,7.1,0,Bike,0.22
W00004,24,Gurgaon,Instamart,35,3456.54,9.8,0,Bike,0.3
W00005,31,Connaught Place,BigBasket,47,4948.22,7.6,0,Bike,0.15
W00006,44,Faridabad,Zomato,18,5441.47,8.5,0,Bike,0.32
W00007,31,East Delhi,Blinkit,14,2987.26,12.6,0,Bike,0.35
W00008,32,Connaught Place,Blinkit,35,3757.24,10.2,0,Bicycle,0.15
W00009,43,Lajpat Nagar,Zepto,44,5432.99,8.7,0,Bike,0.12
W00010,31,Lajpat Nagar,Swiggy,41,3653.14,8.8,0,Bike,0.12
W00011,44,Dwarka,Blinkit,7,3779.45,10.4,0,Bike,0.22
W00012,35,Gurgaon,Blinkit,41,2414.0,10.0,1,Bike,0.3
W00013,32,West Delhi,BigBasket,13,3324.67,9.1,1,Bike,0.25
W00014,24,Dwarka,BigBasket,18,4194.47,9.2,1,Bike,0.22
W00015,43,Dwarka,Instamart,37,5693.43,6.8,0,Bike,0.22
W00016,23,East Delhi,Zomato,13,3593.19,6.5,0,Bike,0.35
W00017,40,Noida,Zepto,36,2419.9,8.7,0,EV Scooter,0.28
W00018,34,Gurgaon,Zomato,31,2625.8,8.1,1,Bicycle,0.3
W00019,31,North Delhi,Instamart,2,3721.37,9.9,0,Bicycle,0.2
W00020,38,Dwarka,BigBasket,16,4691.77,9.3,0,Bike,0.22
W00021,40,Saket,Swiggy,9,4259.88,7.8,0,Bicycle,0.14
W00022,38,Noida,BigBasket,9,4118.2,9.2,0,EV Scooter,0.28
W00023,40,North Delhi,Zepto,38,4797.32,8.4,0,Bicycle,0.2
W00024,30,Saket,BigBasket,11,3173.82,12.1,0,Bike,0.14
W00025,40,Gurgaon,Zepto,22,3765.28,9.6,0,Bike,0.3
W00026,25,South Delhi,Zepto,33,3333.69,6.7,0,Bike,0.1
W00027,28,Saket,Zepto,36,3532.84,11.7,0,Bike,0.14
W00028,20,Faridabad,Instamart,45,2944.98,8.1,0,Bike,0.32
W00029,31,Noida,Zepto,23,3474.82,7.5,1,EV Scooter,0.28
W00030,33,Saket,Zepto,45,3727.83,12.2,0,Bicycle,0.14
W00031,25,Rohini,Swiggy,45,3452.82,9.5,0,Bike,0.18
W00032,20,South Delhi,Zomato,34,3621.15,10.1,0,Bike,0.1
W00033,41,Lajpat Nagar,Blinkit,9,4074.03,10.1,0,Bike,0.12
W00034,21,Lajpat Nagar,Zomato,24,4740.96,8.7,0,Bike,0.12
W00035,43,Faridabad,Zepto,8,4798.92,8.1,0,Bike,0.32
W00036,30,Saket,Swiggy,7,4359.14,8.4,0,Bike,0.14
W00037,22,Saket,BigBasket,36,2742.01,11.4,0,Bike,0.14
W00038,29,East Delhi,Swiggy,18,3461.67,9.3,0,EV Scooter,0.35
W00039,25,Saket,Zepto,3,3530.57,11.0,0,Bike,0.14
W00040,25,Connaught Place,Swiggy,28,3224.28,8.9,0,Bike,0.15
W00041,39,West Delhi,Swiggy,6,4023.88,7.9,0,Bike,0.25
W00042,40,Rohini,Zepto,44,2474.54,6.8,0,Bike,0.18
W00043,21,East Delhi,Instamart,44,5104.85,10.0,0,Bike,0.35
W00044,43,Gurgaon,Swiggy,21,4706.18,11.5,0,Bike,0.3
W00045,29,East Delhi,Blinkit,28,4132.56,7.7,0,Bike,0.35
W00046,42,Connaught Place,Blinkit,40,3700.31,9.8,0,Bike,0.15
W00047,25,Gurgaon,Swiggy,1,4733.07,6.9,0,Bicycle,0.3
W00048,42,Rohini,Instamart,36,4301.52,8.2,0,Bike,0.18
W00049,36,Connaught Place,BigBasket,21,4635.31,9.4,0,Bike,0.15
W00050,33,North Delhi,Zepto,43,3702.76,6.4,0,Bike,0.2
W00051,24,West Delhi,Blinkit,35,5181.45,9.0,1,Bicycle,0.25
W00052,42,Rohini,BigBasket,13,4683.51,7.7,0,Bike,0.18
W00053,36,Saket,Swiggy,10,4157.63,9.9,0,Bike,0.14
W00054,21,North Delhi,BigBasket,44,4754.78,8.8,0,Bicycle,0.2
W00055,28,Faridabad,Zomato,47,3414.67,10.4,0,Bike,0.32
W00056,31,Rohini,Blinkit,10,2816.0,8.6,0,Bike,0.18
W00057,38,Faridabad,Swiggy,46,4007.24,7.0,0,Bike,0.32
W00058,41,Gurgaon,Zepto,13,3704.33,6.8,0,Bicycle,0.3
W00059,26,North Delhi,Instamart,37,3591.83,6.1,0,EV Scooter,0.2
W00060,28,West Delhi,Swiggy,38,4723.05,9.9,0,EV Scooter,0.25
W00061,40,Saket,Zepto,24,3883.71,12.8,0,EV Scooter,0.14
W00062,35,Saket,Instamart,2,3960.86,9.7,0,Bicycle,0.14
W00063,39,Connaught Place,Instamart,22,3488.36,11.5,0,Bike,0.15
W00064,30,Saket,Swiggy,17,4454.9,10.7,0,Bicycle,0.14
W00065,31,Dwarka,BigBasket,36,4311.5,8.2,0,Bike,0.22
W00066,34,East Delhi,BigBasket,14,4448.93,10.9,0,Bike,0.35
W00067,37,South Delhi,Instamart,10,3352.19,8.3,1,Bike,0.1
W00068,38,West Delhi,BigBasket,35,4793.27,8.3,0,Bike,0.25
W00069,35,North Delhi,Zomato,25,5221.01,8.7,0,Bicycle,0.2
W00070,34,Dwarka,Instamart,3,4423.63,8.8,0,Bike,0.22
W00071,24,West Delhi,Instamart,47,3102.57,10.0,0,Bike,0.25
W00072,30,North Delhi,Zepto,38,3108.24,8.0,0,Bike,0.2
W00073,34,Noida,BigBasket,17,3449.7,10.3,0,EV Scooter,0.28
W00074,37,Noida,Instamart,12,3298.5,10.3,0,Bicycle,0.28
W00075,32,Faridabad,Zomato,24,3693.13,9.5,1,Bike,0.32
W00076,23,West Delhi,Zepto,29,4255.95,11.9,0,Bike,0.25
W00077,36,Noida,Swiggy,43,3981.96,10.9,0,Bike,0.28
W00078,23,North Delhi,Instamart,25,3911.83,10.6,1,Bike,0.2
W00079,35,Faridabad,Zomato,36,3557.04,9.1,0,Bike,0.32
W00080,42,Saket,Blinkit,26,3690.92,9.5,0,Bicycle,0.14
W00081,34,North Delhi,Zomato,38,4387.26,9.8,0,Bike,0.2
W00082,33,Faridabad,Zomato,1,2140.43,9.0,0,Bike,0.32
W00083,31,West Delhi,Zepto,20,3740.89,8.4,0,Bike,0.25
W00084,22,Dwarka,Swiggy,28,3980.39,5.4,0,Bike,0.22
W00085,29,Connaught Place,Blinkit,16,4376.87,10.1,0,Bike,0.15
W00086,27,Saket,BigBasket,47,2941.96,10.6,0,Bike,0.14
W00087,25,Rohini,BigBasket,17,2899.67,7.3,0,Bike,0.18
W00088,41,Dwarka,Zomato,40,4217.16,9.9,0,Bicycle,0.22
W00089,33,Gurgaon,Zepto,28,2226.44,8.1,0,Bike,0.3
W00090,36,North Delhi,Zepto,12,4815.75,8.5,0,Bike,0.2
W00091,40,Gurgaon,BigBasket,27,3931.27,11.0,0,Bike,0.3
W00092,38,Dwarka,Blinkit,42,4996.98,7.5,0,Bicycle,0.22
W00093,35,Faridabad,Swiggy,47,2880.34,7.5,0,Bike,0.32
W00094,34,Rohini,Blinkit,30,3400.91,11.7,0,Bike,0.18
W00095,34,Saket,Instamart,41,1823.71,8.8,0,EV Scooter,0.14
W00096,20,Saket,Instamart,34,3113.45,10.9,0,Bike,0.14
W00097,43,Saket,Swiggy,37,3602.92,6.6,1,Bike,0.14
W00098,42,Rohini,BigBasket,6,2179.83,6.7,0,Bicycle,0.18
W00099,42,South Delhi,Swiggy,7,3434.3,7.6,0,Bike,0.1
W00100,31,Rohini,Zepto,32,2160.13,8.3,0,Bicycle,0.18
W00101,29,Connaught Place,Instamart,32,3544.03,6.9,0,Bike,0.15
W00102,33,Rohini,Zomato,25,4667.69,9.6,0,Bike,0.18
W00103,29,Dwarka,Zomato,33,3722.02,9.7,0,Bicycle,0.22
W00104,29,South Delhi,BigBasket,7,5076.57,7.7,0,Bicycle,0.1
W00105,39,Saket,Zepto,12,4379.03,7.8,0,EV Scooter,0.14
W00106,30,Dwarka,Blinkit,16,4828.52,8.0,0,Bike,0.22
W00107,41,Dwarka,Zepto,16,3138.04,7.3,0,Bike,0.22
W00108,35,Lajpat Nagar,Zomato,43,3118.69,4.7,0,Bike,0.12
W00109,28,East Delhi,Zomato,36,4026.49,8.9,0,Bike,0.35
W00110,34,South Delhi,Instamart,13,2487.84,8.4,0,Bike,0.1
W00111,33,Dwarka,Zepto,7,4126.91,8.5,0,Bike,0.22
W00112,38,East Delhi,Zepto,36,3490.86,7.5,0,Bike,0.35
W00113,28,East Delhi,Zomato,47,4814.0,10.2,0,Bike,0.35
W00114,23,South Delhi,Blinkit,9,4293.61,12.6,0,Bike,0.1
W00115,40,Lajpat Nagar,BigBasket,32,4627.37,7.7,0,EV Scooter,0.12
W00116,26,Gurgaon,BigBasket,11,3146.64,11.1,0,Bicycle,0.3
W00117,41,Faridabad,Zepto,8,4588.57,9.5,0,Bike,0.32
W00118,27,Connaught Place,BigBasket,33,4905.77,9.1,0,EV Scooter,0.15
W00119,43,Faridabad,Zomato,23,3719.03,8.5,0,Bike,0.32
W00120,27,Rohini,Zomato,25,3158.52,8.9,0,EV Scooter,0.18
W00121,38,Saket,Zepto,8,3172.57,10.7,0,Bike,0.14
W00122,34,Connaught Place,Zepto,45,4741.21,7.3,0,Bike,0.15
W00123,35,Rohini,Instamart,22,5897.48,8.6,0,EV Scooter,0.18
W00124,41,Dwarka,Zepto,4,2964.68,10.9,0,Bike,0.22
W00125,42,Saket,Blinkit,40,2903.18,10.5,0,EV Scooter,0.14
W00126,28,North Delhi,BigBasket,3,4487.13,7.3,0,Bicycle,0.2
W00127,31,South Delhi,Zepto,29,3146.87,8.7,0,EV Scooter,0.1
W00128,35,Connaught Place,Swiggy,41,4564.68,10.1,0,Bike,0.15
W00129,23,Connaught Place,Instamart,29,4122.28,10.0,0,Bike,0.15
W00130,24,Dwarka,Swiggy,34,3730.82,10.5,0,Bike,0.22
W00131,27,Gurgaon,Zomato,34,4103.02,9.6,0,EV Scooter,0.3
W00132,20,East Delhi,BigBasket,28,4054.16,9.8,0,Bike,0.35
W00133,25,Saket,Zepto,13,3606.31,9.5,0,Bike,0.14
W00134,34,Dwarka,Swiggy,15,2344.91,11.4,0,Bike,0.22
W00135,23,Noida,BigBasket,23,3892.92,8.4,0,Bike,0.28
